          ID   lat_alloc   lon_alloc  area_alloc     lat_ori     lon_ori    area_ori   area_diff  area_error loc_km_diff alloc_score      ix      ix
     1160440     -33.938      23.371     761.292     -33.938      23.371     761.292       0.000       0.000       0.056       0.011   24405   14873
     1160441     -33.804      23.138     163.254     -33.804      23.138     163.254       0.000       0.000       0.049       0.010   24377   14857
     1160450     -33.746      23.304      46.431     -33.746      23.304      46.431       0.000       0.000       0.024       0.007   24397   14850
     1160455     -33.954      23.638      56.857     -33.954      23.638      56.857       0.000       0.000       0.049       0.013   24437   14875
     1160457     -33.863      23.838      24.498     -33.863      23.838      24.498       0.000       0.000       0.071       0.029   24461   14864
     1160460     -33.729      24.621   29457.896     -33.729      24.621   29457.896       0.000       0.000       0.023       0.005   24555   14848
     1160470     -33.204      24.238    1292.494     -33.204      24.238    1292.494      -0.000      -0.000       0.050       0.010   24509   14785
     1160480     -32.238      23.054    3940.068     -32.238      23.054    3940.068      -0.000      -0.000       0.058       0.012   24367   14669
     1160481     -32.071      23.013    3674.215     -32.071      23.013    3674.215      -0.000      -0.000       0.050       0.010   24362   14649
     1160487     -33.796      25.313     394.631     -33.796      25.313     394.631      -0.000      -0.000       0.048       0.010   24638   14856
     1160490     -32.996      25.163    1741.347     -32.996      25.163    1741.347      -0.000      -0.000       0.049       0.010   24620   14760
     1160495     -33.104      25.229     533.849     -33.104      25.229     533.849       0.000       0.000       0.025       0.005   24628   14773
     1160500     -33.329      26.079    1474.379     -33.329      26.079    1474.379       0.000       0.000       0.025       0.005   24730   14800
     1160510     -33.096      26.446   23046.818     -33.096      26.446   23046.818       0.000       0.000       0.022       0.004   24774   14772
     1160511     -31.904      25.479    9097.492     -31.904      25.479    9097.492       0.000       0.000       0.025       0.005   24658   14629
     1160512     -31.904      25.429    1723.324     -31.904      25.429    1723.324      -0.000      -0.000       0.026       0.005   24652   14629
     1160520     -31.571      25.546    1572.541     -31.571      25.546    1572.541       0.000       0.000       0.024       0.005   24666   14589
     1160525     -32.421      25.446     215.860     -32.421      25.446     215.860      -0.000      -0.000       0.023       0.005   24654   14691
     1160530     -32.604      25.888     808.353     -32.604      25.888     808.353      -0.000      -0.000       0.050       0.010   24707   14713
     1160535     -31.971      26.004    1302.613     -31.971      26.004    1302.613      -0.000      -0.000       0.025       0.005   24721   14637
     1160540     -33.354      26.863      46.554     -33.354      26.863      46.554      -0.000      -0.000       0.049       0.014   24824   14803
     1160545     -33.504      26.746     589.712     -33.504      26.746     589.712      -0.000      -0.000       0.024       0.005   24810   14821
     1160550     -32.179      26.821     462.350     -32.179      26.821     462.350      -0.000      -0.000       0.024       0.005   24819   14662
     1160580     -33.238      26.996   29701.793     -33.238      26.996   29701.793       0.000       0.000       0.057       0.011   24840   14789
     1160600     -33.188      27.388    2520.775     -33.188      27.388    2520.775       0.000       0.000       0.071       0.014   24887   14783
     1160601     -33.013      26.954    1527.033     -33.013      26.954    1527.033       0.000       0.000       0.058       0.012   24835   14762
     1160602     -32.754      27.088     485.924     -32.754      27.088     485.924       0.000       0.000       0.050       0.010   24851   14731
     1160605     -32.754      27.096     101.599     -32.754      27.096     101.599      -0.000      -0.000       0.024       0.005   24852   14731
     1160607     -32.638      27.196      32.983     -32.638      27.196      32.983       0.000       0.000       0.057       0.020   24864   14717
     1160610     -32.854      27.371     120.476     -32.854      27.371     120.476       0.000       0.000       0.023       0.005   24885   14743
