          ID   lat_alloc   lon_alloc  area_alloc     lat_ori     lon_ori loc_km_diff      ix      ix
         237      43.185     143.224       1.611      43.186     143.225       0.086   16722    4907
         238      43.008     143.201     704.999      43.007     143.200       0.091   16705    5035
         239      43.238     143.272     494.473      43.238     143.273       0.120   16756    4869
         240      42.951     143.148     653.873      42.951     143.147       0.083   16667    5076
         241      43.094     142.984     252.474      43.094     142.984       0.028   16549    4973
         242      42.923     143.067     191.177      42.923     143.066       0.113   16609    5096
         243      42.912     143.062     168.798      42.912     143.061       0.068   16605    5104
         244      42.910     143.040      21.069      42.910     143.039       0.066   16589    5105
         245      42.915     143.027     202.795      42.914     143.028       0.098   16580    5102
         246      43.085     142.833     182.915      43.086     142.833       0.071   16440    4979
         247      43.412     142.878     211.122      43.412     142.878       0.043   16473    4744
         248      42.920     143.476     112.919      42.920     143.476       0.029   16903    5098
         249      42.931     143.497     108.917      42.931     143.497       0.048   16918    5090
         250      43.209     143.372      53.697      43.209     143.371       0.042   16828    4890
         251      43.122     143.616      61.456      43.122     143.616       0.053   17004    4953
         252      43.133     143.585     608.569      43.132     143.585       0.079   16982    4945
         253      43.242     143.563     538.050      43.243     143.563       0.072   16966    4866
         254      43.306     143.709     121.542      43.306     143.709       0.028   17071    4820
         255      43.467     143.751     126.952      43.467     143.751       0.047   17101    4704
         256      42.895     143.197      21.274      42.895     143.197       0.042   16702    5116
         257      42.699     143.058     152.203      42.699     143.058       0.045   16602    5257
         258      42.733     143.108     292.112      42.732     143.109       0.132   16638    5233
         259      42.928     143.141     149.926      42.928     143.141       0.052   16662    5092
         260      42.952     143.198       8.340      42.952     143.198       0.011   16703    5075
         261      43.008     142.872      32.292      43.007     142.872       0.081   16468    5035
         262      43.083     142.820      28.051      43.082     142.820       0.072   16431    4981
         263      42.922     143.188      17.142      42.921     143.188       0.061   16696    5097
         264      42.924     143.158       9.798      42.924     143.158       0.045   16674    5095
         265      43.008     144.701     108.903      43.007     144.701       0.075   17785    5035
         266      44.651     142.859     269.346      44.650     142.859       0.077   16459    3852
         267      44.473     143.116     294.424      44.473     143.116       0.010   16644    3980
         268      44.438     143.122       1.070      44.438     143.121       0.047   16648    4005
         269      44.287     143.353     206.527      44.287     143.354       0.048   16815    4114
         270      44.006     143.760     247.532      44.006     143.760       0.044   17108    4316
         271      44.019     143.785     253.146      44.019     143.785       0.043   17126    4307
         272      44.147     143.683     121.819      44.147     143.682       0.074   17052    4215
         273      43.784     144.535     236.922      43.784     144.535       0.034   17666    4476
         274      43.838     144.601     341.574      43.838     144.601       0.033   17713    4437
         275      43.901     144.641     531.031      43.901     144.641       0.034   17742    4392
         276      43.885     144.660     172.425      43.885     144.661       0.066   17756    4403
         277      42.391     143.302     158.258      42.392     143.302       0.114   16778    5479
         278      42.494     143.278     463.072      42.495     143.278       0.144   16761    5405
         279      42.524     143.195     413.615      42.524     143.197       0.157   16701    5383
         280      42.905     143.931     282.956      42.905     143.931       0.024   17231    5109
         281      42.972     144.059     349.856      42.971     144.061       0.172   17323    5061
         282      42.990     144.127     274.617      42.990     144.126       0.100   17372    5048
