        ID       lat       lon   area_CaMa  area_GRanD       error        diff      ix      iy     cap_mcm  year  damname                         rivname
       192    38.204  -120.071       916.0       793.5         0.2       122.5     240     207       120.6  1957  Beardsley                       MiddleForkofStanislausRiver   
       193    38.154  -120.812       804.8       936.6        -0.1      -131.7     238     208       391.1  1963  NewHoganDam                     CalaverasRiver                
       198    37.954  -120.521      2745.9      2337.7         0.2       408.2     238     209      2985.0  1979  NewMelones                      StanislausRiver               
       200    37.946  -122.262       127.6        83.6         0.5        44.0     231     209        53.3  1920  SanPablo                        SanPabloCreek                 
       203    37.904  -120.938       705.3       557.7         0.3       147.6     236     209        64.1  1951  FarmingtonDam                   RockCreek                     
       204    37.879  -120.604      2745.9      2530.3         0.1       215.6     238     209        84.4  1958  Tulloch                         StanislausRiver               
       206    37.862  -121.571       630.2       630.8        -0.0        -0.6     234     210        35.8  1970  CliftonCourt                    Trib.OldRiver                 
       210    37.704  -120.421      4309.3      3960.3         0.1       349.0     238     210      2504.0  1971  DonPedro                        TuolumneRiver                 
       213    37.612  -121.746       323.4       377.0        -0.1       -53.6     234     211        95.1  1968  DelValle                        ArroyoValle                   
       214    37.587  -120.271      2894.4      2686.7         0.1       207.7     239     210      1480.2  1966  ExchequerMain                   MercedRiver                   
       218    37.521  -120.312      2894.4      2742.5         0.1       151.9     239     210        12.3  1966  McSwain                         MercedRiver                   
       219    37.487  -121.821       359.1       253.0         0.4       106.0     233     211       123.3  1925  Calaveras                       CalaverasCreek                
       222    37.171  -121.629       593.0       509.6         0.2        83.3     234     212       112.6  1950  LeroyAnderson                   CoyoteRiver                   
       223    37.121  -121.554       296.6       310.7        -0.0       -14.1     235     212        29.2  1936  Coyote                          CoyoteCreek                   
       228    36.996  -120.929       656.2       406.7         0.6       249.5     236     213        32.4  1965  LosBanosCreekDetentionDam       LosBanosCreek                 
       229    36.396  -120.837       405.5       219.3         0.8       186.3     237     215        22.2  1962  Hernandez                       SanBenitoRiver                
       230    35.804  -120.887       869.0       836.4         0.0        32.6     236     217       431.7  1965  SanAntonio                      SanAntonioRiver               
       231    35.762  -120.887       962.3       841.1         0.1       121.1     237     218       431.7  1957  Nacimiento                      NacimientoRiver               
       233    35.337  -120.504       518.5       290.0         0.8       228.4     239     219        53.3  1941  SalinasDam                      SalinasRiver                  
       235    63.512  -115.921     13460.2     13452.0         0.0         8.1     257     106       271.4  1949  SnareRapids                     Snare                         
