        ID       lat       lon   area_CaMa  area_GRanD       error        diff      ix      iy     cap_mcm  year  damname                         rivname
       153    39.454  -120.287      -888.0        21.7        -8.0      -888.0     235     202        22.8  1939  Independence                    IndependenceCreek             
       154    39.446  -120.654      -888.0        74.4        -8.0      -888.0     235     202        78.9  1927  Bowman                          CanyonCreek                   
       155    39.421  -120.537      -888.0        12.7        -8.0      -888.0     235     202        17.0  1948  FrenchLake                      CanyonCreek                   
       157    39.396  -120.096      -888.0       443.1        -8.0      -888.0     229     203        50.7  1939  Boca                            LittleTruckeeRiver            
       159    39.379  -120.496      -888.0        81.3        -8.0      -888.0     236     202        60.3  1873  LakeFordyce                     FordyceCreek                  
       160    39.379  -120.137      -888.0       135.1        -8.0      -888.0     236     202        35.3  1962  ProsserCreek                    ProsserCreek                  
       161    39.362  -122.512      -888.0       254.7        -8.0      -888.0     236     202        62.4  1910  EastPark                        LittleStonyCreek              
       163    39.321  -120.112      -888.0        95.5        -8.0      -888.0     238     203        25.2  1972  MartisCreekDam                  MartisCreek                   
       165    39.321  -120.237      -888.0        37.7        -8.0      -888.0     235     203        12.7  1927  DonnerLake                      DonnerCreek                   
       166    39.304  -120.596      -888.0        11.5        -8.0      -888.0     235     203        10.0  1911  LakeValley                      Trib.NorthForkofAmericanRiver 
       167    39.271  -120.929      -888.0        52.6        -8.0      -888.0     235     203        60.4  1948  ScottsFlat                      DeerCreek                     
       169    39.196  -123.188      -888.0       273.6        -8.0      -888.0     236     203       191.8  1959  CoyoteValleyDam                 EastForkofRussianRiver        
       171    39.137  -120.954      -888.0       267.8        -8.0      -888.0     240     204        81.4  1965  Rollins                         BearRiver                     
       172    39.112  -120.471      -888.0       123.1        -8.0      -888.0     240     204       137.3  1965  L.L.Anderson                    MiddleForkofAmericanRiver     
       176    38.996  -120.312      -888.0        14.9        -8.0      -888.0     236     204        94.4  1963  LoonLake                        GerleCreek                    
       177    38.904  -120.604      -888.0        37.4        -8.0      -888.0     236     204        24.7  1962  MarkEdson                       PilotCreek                    
       178    38.871  -120.438      -888.0       215.0        -8.0      -888.0     236     204       283.7  1963  UnionValley                     SilverCreek                   
       179    38.829  -120.362      -888.0        70.0        -8.0      -888.0     236     204        45.8  1959  IceHouse                        SouthForkofSilverCreek        
       181    38.712  -120.571      -888.0        48.7        -8.0      -888.0     228     206        50.1  1955  SlyPark                         SlyParkCreek                  
       183    38.704  -120.046      -888.0        35.0        -8.0      -888.0     236     206        26.6  1922  CaplesLake                      Trib.SilverFork               
       184    38.537  -120.254      -888.0        96.1        -8.0      -888.0     236     206        66.6  1952  LowerBear                       BearRiver                     
       187    38.487  -122.379      -888.0       135.6        -8.0      -888.0     239     206        38.2  1946  ConnCreek                       ConnCreek                     
       188    38.354  -122.129      -888.0        52.5        -8.0      -888.0     239     206        13.2  1926  LakeCurry                       GordonValleyCreek             
       189    38.304  -120.887      -888.0       150.9        -8.0      -888.0     239     206        27.1  1965  JacksonCreek                    JacksonCreek                  
       195    38.079  -122.754      -888.0        93.0        -8.0      -888.0     238     208        27.6  1961  Seeger                          NicasioCreek                  
       196    38.029  -120.762      -888.0        51.9        -8.0      -888.0     238     208        13.4  1882  SaltSpringsValley               RockCreek                     
       197    37.996  -122.704      -888.0        55.7        -8.0      -888.0     238     208        40.6  1954  Peters                          LagunitasCreek                
       199    37.946  -120.446      -888.0         1.3        -8.0      -888.0     238     209        14.9  1994  JamestownMines                  Trib.WoodsCreek               
       201    37.937  -122.637      -888.0        26.2        -8.0      -888.0     231     209        11.0  1917  Alpine                          LagunitasCreek                
       202    37.912  -122.212      -888.0        23.0        -8.0      -888.0     231     209        83.3  1964  Briones                         BearCreek                     
       205    37.862  -120.879      -888.0        33.1        -8.0      -888.0     238     209        43.2  1918  Woodward                        SimmonsCreek                  
       207    37.837  -121.729      -888.0        48.2        -8.0      -888.0     234     210       123.3  1997  LosVaqueros                     KelloggCreek                  
       211    37.654  -120.679      -888.0        28.6        -8.0      -888.0     238     210        35.8  1911  ModestoReservoir                Trib.TuolumneRiver            
       212    37.621  -120.604      -888.0        29.8        -8.0      -888.0     238     210        56.2  1915  TurlockLake                     Trib.TuolumneRiver            
       215    37.579  -122.412      -888.0        10.6        -8.0      -888.0     239     210        23.5  1870  SanAndreas                      Trib.SanMateoCreek            
       216    37.571  -121.846      -888.0        99.8        -8.0      -888.0     239     210        62.3  1964  JamesH.Turner                   SanAntonioCreek               
       217    37.521  -122.362      -888.0        45.3        -8.0      -888.0     239     210        71.4  1888  LowerCrystalSprings             SanMateoCreek                 
       220    37.204  -121.987      -888.0        98.0        -8.0      -888.0     233     211        26.4  1953  JamesJ.Lenihan                  LosGatosCreek                 
       221    37.179  -121.787      -888.0        18.2        -8.0      -888.0     233     211        12.2  1935  Calero                          CaleroCreek                   
       224    37.104  -122.071      -888.0        22.0        -8.0      -888.0     235     212        11.1  1960  Newell                          NewellCreek                   
       225    37.096  -121.046      -888.0       274.5        -8.0      -888.0     235     212        79.9  1966  O'NeillForebayDike              OffstreamSanLuisCreek         
       226    37.062  -121.079      -888.0       212.2        -8.0      -888.0     235     212      2419.3  1967  B.F.Sisk                        SanLuisCreek                  
       227    37.062  -121.688      -888.0        82.2        -8.0      -888.0     235     212        12.3  1957  Uvas                            UvasCreek                     
       234    35.187  -120.487      -888.0       174.9        -8.0      -888.0     239     219        64.8  1969  Lopez                           ArroyoGrandeCreek             
       238    57.087  -111.654      -888.0         3.8        -8.0      -888.0     276     131       270.0  2002  Dike8                           NoName                        
       239    57.046  -111.579      -888.0         6.5        -8.0      -888.0     276     131        13.0  2001  Dike11-C                        NoName                        
       241    57.029  -111.571      -888.0        11.0        -8.0      -888.0     276     131        63.0  2000  Dike11-A                        NoName                        
       242    57.012  -111.529      -888.0         6.0        -8.0      -888.0     276     131        11.0  1999  Dike7-EA                        NoName                        
       243    56.996  -111.471      -888.0         0.8        -8.0      -888.0     276     131       185.0  1988  TarIsland                       Athabasca                     
       246    52.904  -115.379      -888.0        78.3        -8.0      -888.0     258     149       220.0  1963  BrazeauCanalDike                Brazeau                       
       252    51.846  -106.387      -888.0       182.5        -8.0      -888.0     262     153        66.6  1967  NorthBlackstrapLake             Blackstrap                    
       262    50.721  -118.104      -888.0        32.0        -8.0      -888.0     270     156        23.8  1964  CoursierLake                    Cranberry                     
       264    50.612  -115.121      -888.0       147.6        -8.0      -888.0     260     158        62.9  1955  Pocaterra                       Kananaskis                    
       269    50.196  -114.188      -888.0       215.0        -8.0      -888.0     253     159        16.3  1965  ChainLakesSouth                 WillowCreek                   
       273    49.921  -118.112      -888.0       394.4        -8.0      -888.0     283     161       114.7  1952  Whatshan                        Whatshan                      
       274    49.829  -119.962      -888.0        10.9        -8.0      -888.0     283     161       140.0  1990  Brenda                          Macdonald                     
       277    49.679  -112.354      -888.0       113.1        -8.0      -888.0     294     162       209.7  1954  ChinDam                         ChinCoulee                    
