ID,lat_alloc,lon_alloc,area_alloc,lat_ori,lon_ori,area_ori,loc_km_diff,ix,iy,Station Name,River Name
96,44.319,142.583,623.941,44.319,142.583,620,0,16260,4091,上名寄,名寄川
97,44.333,142.485,686.448,44.333,142.485,695,0,16190,4081,真勲別,名寄川
98,44.462,142.37,230.905,44.463,142.365,222,0.412,16107,3988,仁宇布,ペンケニウプ川
99,44.319,142.447,155.39,44.319,142.447,-9999,0,16162,4091,北興橋,風連別川
100,44.898,142.008,4178.207,44.898,142.008,4190,0,15846,3674,新問寒別橋,天塩川
101,44.902,141.967,4509.938,44.9,141.967,4235,0.222,15817,3671,辰根牛,天塩川
102,44.927,141.881,4660.15,44.926,141.879,4685,0.193,15755,3653,円山,天塩川
103,44.992,141.815,4834.485,44.994,141.814,4839,0.235,15707,3606,天塩大橋,天塩川
104,44.902,141.731,5582.715,44.892,141.74,5588,1.319,15647,3671,天塩河口,天塩川
105,45.01,142.078,92.665,45.011,142.078,92,0.112,15897,3593,上問寒別,問寒別川
106,44.959,142.058,199.261,44.959,142.058,203,0,15882,3630,中問寒別,問寒別川
107,44.919,142.017,259.029,44.918,142.018,257,0.137,15853,3659,下問寒別,問寒別川
108,44.885,141.915,101.973,44.886,141.913,103,0.193,15779,3683,上雄信内,雄信内川
110,45.003,141.709,589.654,45.004,141.706,596,0.261,15631,3598,音類橋,サロベツ川
111,44.987,141.72,646.522,44.987,141.716,634.9,0.316,15639,3610,浜里,サロベツ川
112,26.76,128.216,9.71,26.761,128.216,10.7,0.111,5916,16733,与那（廃止）,与那川
113,43.849,141.806,50.501,43.85,141.806,49,0.111,15701,4429,峠下,留萌川
114,43.856,141.76,168.852,43.856,141.759,166,0.081,15668,4424,幌糠,留萌川
115,43.913,141.698,239.936,43.914,141.698,253.3,0.111,15623,4383,大和田,留萌川
116,43.937,141.665,264.491,43.937,141.666,260,0.08,15599,4366,留萌河口,留萌川
117,26.73,128.173,15.522,26.719,128.177,18.8,1.282,5885,16755,比地（廃止）,比地川
118,26.726,128.181,5.953,26.726,128.181,6.5,0,5891,16758,奥間（廃止）,奥間川
119,43.717,142.133,3534.186,43.718,142.133,3558,0.111,15936,4524,納内,石狩川
120,43.715,142.047,3604.623,43.716,142.046,3630,0.136,15874,4526,深川橋,石狩川
121,43.678,141.981,3661.941,43.677,141.982,3683,0.137,15827,4552,妹背牛橋,石狩川
122,43.635,141.913,5427.69,43.636,141.918,5460,0.419,15778,4583,伏古,石狩川
123,43.559,141.885,5688.922,43.559,141.884,5711,0.08,15758,4638,橋本町,石狩川
124,43.503,141.898,8739.022,43.503,141.903,8747,0.404,15767,4678,砂川橋,石狩川
125,43.431,141.845,8941.851,43.433,141.839,8943,0.534,15729,4730,奈井江大橋,石狩川
126,43.33,141.694,9286.726,43.332,141.691,9306,0.33,15620,4803,月形,石狩川
127,43.224,141.663,9376.109,43.221,141.666,9405,0.413,15598,4879,岩見沢大橋,石狩川
128,43.124,141.542,12651.872,43.122,141.542,12697,0.222,15511,4951,石狩大橋,石狩川
129,43.17,141.423,14066.818,43.167,141.42,14153,0.413,15425,4918,篠路,石狩川
130,43.237,141.348,14283.287,43.237,141.346,14314,0.163,15371,4870,石狩,石狩川
131,43.247,141.358,14289.806,43.248,141.357,14314,0.138,15378,4863,石狩河口,石狩川
132,43.255,141.366,14291.192,43.255,141.369,14315,0.244,15384,4857,来札,石狩川
133,44.013,142.151,640.018,44.013,142.151,642,0,15949,4311,幌加内,雨竜川
134,43.806,142.013,985.3,43.807,142.013,996,0.111,15850,4460,多度志,雨竜川
135,43.788,141.928,1150.613,43.789,141.928,1156,0.112,15789,4473,達布橋,雨竜川
136,43.73,141.912,1409.682,43.73,141.914,1425,0.162,15777,4515,北竜橋,雨竜川
137,43.674,141.915,1677.522,43.674,141.915,1661,0,15779,4555,旧雨竜橋,雨竜川
138,43.684,141.915,1661.681,43.684,141.913,1661,0.161,15779,4548,雨竜橋,雨竜川
139,43.166,142.585,368.7,43.166,142.586,377,0.08,16262,4921,幾寅,空知川
140,43.365,142.36,1557.714,43.364,142.358,1541,0.196,16100,4778,学田,空知川
141,43.441,142.281,1684.16,43.441,142.281,1662.1,0,16043,4723,空知大滝,空知川
142,43.56,142.044,2548.811,43.56,142.044,2531,0,15872,4637,赤平,空知川
143,43.547,141.91,2634.728,43.548,141.911,2626,0.136,15776,4647,空知大橋,空知川
144,43.424,141.863,41.53,43.425,141.863,60,0.111,15742,4735,中奈井江,奈井江川
145,43.342,141.82,88.305,43.342,141.82,93,0,15711,4794,美唄,美唄川
146,43.288,141.715,115.914,43.288,141.714,112,0.08,15635,4833,大豊橋,旧美唄川
147,43.251,141.676,161.584,43.251,141.676,144,0,15607,4860,第1旧美唄橋,旧美唄川
148,43.215,142.055,55.54,43.215,142.056,56,0.081,15880,4886,奥桂,幾春別川
149,43.256,141.917,226.596,43.256,141.917,228,0,15781,4856,藤松,幾春別川
150,43.24,141.866,267.129,43.24,141.866,276,0,15744,4868,市来知,幾春別川
151,43.206,141.726,318.622,43.207,141.726,325,0.111,15643,4892,西川向,幾春別川
152,42.947,141.874,791.166,42.946,141.875,792,0.138,15750,5079,円山,夕張川
153,43.027,141.777,1006.872,43.027,141.778,868,0.082,15680,5021,由仁,夕張川
154,43.058,141.77,1016.411,43.057,141.769,1090,0.138,15675,4999,栗山（廃止）,夕張川
155,43.09,141.688,1108.222,43.089,141.688,1116,0.111,15616,4976,清幌橋,夕張川
156,42.772,141.401,220.218,42.775,141.4,223,0.343,15409,5205,支笏湖,千歳川
157,42.808,141.57,281.215,42.808,141.569,279,0.083,15531,5179,ふ化場,千歳川
158,42.847,141.67,367.823,42.846,141.67,367,0.11,15603,5151,西越,千歳川
159,42.944,141.651,661.019,42.943,141.651,618,0.11,15589,5081,舞鶴,千歳川
160,42.983,141.623,943.021,42.983,141.623,848,0,15569,5053,南6号樋門,千歳川
161,43.02,141.577,1130.622,43.02,141.578,1142,0.082,15536,5026,裏の沢,千歳川
162,43.105,141.569,1240.773,43.105,141.569,1269,0,15530,4965,東光,千歳川
163,42.873,141.153,64.689,42.873,141.153,65,0,15231,5132,本流上流,豊平川
164,42.965,141.159,215.743,42.964,141.159,228,0.111,15235,5066,定山渓市街,豊平川
165,42.974,141.173,200.52,42.974,141.173,203,0,15245,5059,一の沢,白井川
166,42.966,141.269,511.453,42.966,141.284,13,1.223,15314,5065,白川,豊平川
167,42.967,141.322,537.076,42.966,141.322,550,0.111,15352,5064,石山,豊平川
168,43.028,141.355,627.59,43.028,141.358,627,0.245,15376,5020,幌平橋（廃止）,豊平川
169,43.03,141.355,627.993,43.03,141.354,627,0.081,15376,5019,藻岩,豊平川
170,43.072,141.401,631.972,43.071,141.401,651,0.111,15409,4989,雁来,豊平川
171,43.198,141.498,307.593,43.196,141.5,312.8,0.276,15479,4898,旧当別川下（廃止）,当別川
172,43.183,141.492,307.924,43.183,141.491,313,0.082,15475,4909,当別川下,当別川
173,43.167,141.348,125.952,43.167,141.348,141,0,15371,4920,茨戸,茨戸川
174,43.709,141.926,76.876,43.709,141.926,88,0,15787,4530,大鳳橋,大鳳川
175,43.366,141.798,76.001,43.366,141.798,67,0,15695,4777,産化美唄,産化美唄川
176,43.277,141.972,36.028,43.278,141.971,36.02,0.138,15820,4841,新奔別,奔別川
177,43.134,141.647,301.199,43.134,141.646,320,0.082,15586,4944,豊幌,幌向川
178,42.91,141.723,62.18,42.91,141.723,63,0,15641,5105,嶮淵,嶮淵川
179,42.858,141.403,40.291,42.857,141.403,40,0.111,15411,5143,光竜,漁川
