ID,lat_alloc,lon_alloc,area_alloc,lat_ori,lon_ori,area_ori,area_diff,area_error,loc_km_diff,alloc_score,ix,ix,lat_mod,lon_mod,area_mod,Modify,Station Name,River Name,Country,File Date,Last Update,Downstream GRDC Station,Altitude
1159320,-29.654,25.971,2361.112,-29.658,25.973,2381,-19.581,-0.008,0.194,0.045,12359,7180,-29.658,25.973,2381,,Kromdraai (27817212),RIET,ZA,2020/1/31,2019/2/12,1159301,1319
1159321,-29.813,26.213,591.606,-29.812,26.212,596,0.953,0.002,0.588,0.119,12373,7189,-29.812,26.212,596,,Riviera (27817208),RIET,ZA,2020/1/31,2018/5/22,1159320,1392
1159325,-29.904,26.213,196.387,-29.903,26.214,191,5.53,0.029,0.802,0.189,12373,7195,-29.903,26.214,191,,Os Poort (27817209),OSPOORTSPRUIT,ZA,2020/1/31,2018/5/22,1159320,1417
1159400,-27.571,24.746,10703.677,-27.573,24.746,11044,-336.903,-0.031,0.453,0.114,12285,7055,-27.573,24.746,11044,,Taung (27817303),HARTS,ZA,2020/1/31,2019/2/12,1159301,1091
1159410,-27.838,25.904,17917.879,-27.84,25.904,17754,163.869,0.009,0.452,0.1,12355,7071,-27.84,25.904,17754,,Floorsdrift (27817502),VETRIVIER,ZA,2020/1/31,2018/5/22,1159500,1237
1159500,-28.496,24.604,119082.602,-28.499,24.603,120982,-1898.188,-0.016,0.917,0.195,12277,7110,-28.499,24.603,120982,,De Hoop 65,VAAL RIVER,ZA,2020/1/31,2018/5/22,1159300,-999
1159510,-27.396,26.613,7755.738,-27.398,26.613,7801,-42.421,-0.005,0.829,0.17,12397,7044,-27.398,26.613,7801,,Grootdraai (27817602),VALSRIVIER,ZA,2020/1/31,2019/2/12,1159500,1259
1159511,-27.396,26.629,7743.239,-27.4,26.626,7794,-44.125,-0.006,0.892,0.183,12398,7044,-27.4,26.626,7794,,Mooifontein (27817603),VALSRIVIER,ZA,2020/1/31,2018/5/22,1159510,1259
1159512,-27.938,27.996,854.088,-27.936,27.996,863,66.751,0.077,0.773,0.232,12480,7077,-27.936,27.996,863,,Klipfontein (27817604),VALSRIVIER,ZA,2020/1/31,2018/5/22,1159511,1530
1159520,-27.354,27.288,914.286,-27.356,27.286,905,9.285,0.01,0.634,0.137,12438,7042,-27.356,27.286,905,,Dankbaar (27817703),HEUNINGSPRUIT,ZA,2020/1/31,2019/2/12,1159500,1357
1159530,-27.371,26.354,903.626,-27.37,26.351,867,36.965,0.043,0.887,0.22,12382,7043,-27.37,26.351,867,,Klipspruit (27817465),LEEWDORINGSPRUIT,ZA,2020/1/31,2018/5/22,1159500,1249
1159540,-27.563,26.229,1413.273,-27.561,26.233,1895,-478.062,-0.252,0.857,0.424,12374,7054,-27.561,26.233,1895,,Leegte (27817467),SANDSPRUIT,ZA,2020/1/31,2018/5/22,1159500,1240
1159600,-31.029,26.329,2174.907,-31.04,26.34,2400,-228.717,-0.095,1.449,0.369,12380,7263,-31.04,26.34,2400,,Diep Kloof,STROMBERGSPRUIT,ZA,2020/1/31,2018/5/22,1159303,-999
1159601,-31.004,26.354,2384.744,-31.001,26.353,2397,-6.228,-0.003,1.106,0.223,12382,7260,-31.001,26.353,2397,,Diepkloof (27819101),WONDERBOOMSPRUIT,ZA,2020/1/31,2019/2/12,1159303,1376
