        ID       lat       lon   area_CaMa  area_Input       error        diff      ix      iy     cap_mcm  year  damname                         rivname
      6051    34.171   133.904      -999.0        87.9      -999.0      -999.0    -999    -999         1.0  1633                    Kamekoshiike                       Otanigawa
      6052    34.162   133.771      -999.0         3.3      -999.0      -999.0    -999    -999         1.0  1592                        Iwaseike                      Takasegawa
      6053    34.162   133.871      -999.0        13.7      -999.0      -999.0    -999    -999        15.4  1961                        Mannoike                    Kanakuragawa
      6054    34.162   134.071      -999.0        28.2      -999.0      -999.0    -999    -999         8.2  1952                           Naiba                       Naibagawa
      6059    34.112   131.796      -999.0        13.7      -999.0      -999.0    -999    -999        13.7  1979                        Kawakami                       Tondagawa
      6060    34.104   130.954      -999.0         3.7      -999.0      -999.0    -999    -999         1.3  1989                           Utsui                      Yamasegawa
      6064    34.079   130.946      -999.0         1.7      -999.0      -999.0    -999    -999         0.9  1928                      Utsuidaini                     Ayaragigawa
      6065    34.062   130.954      -999.0         5.8      -999.0      -999.0    -999    -999         1.0  1906                    Utsuidaiichi                     Ayaragigawa
      6066    34.062   131.271      -999.0         0.9      -999.0      -999.0    -999    -999         4.5  1978                     Ubemaruyama                     Yakushigawa
      6067    34.054   131.871      -999.0        45.0      -999.0      -999.0    -999    -999        19.6  1991                     Suetakegawa                     Suetakegawa
      6068    34.012   131.304      -999.0         2.3      -999.0      -999.0    -999    -999         1.0  1963                       Mannenike                          NoName
      6069    33.996   132.929      -999.0        38.6      -999.0      -999.0    -999    -999         9.9  1970                        Tamagawa                       Soshagawa
      6073    33.904   130.738      -999.0         1.5      -999.0      -999.0    -999    -999         5.0  1968                    Tondadaiichi                          NoName
      6076     0.000     0.000      -999.0         0.0      -999.0      -999.0    -999    -999         0.9  1983                         Yoshida                     Yoshidagawa
      6077    33.829   130.529      -999.0         1.0      -999.0      -999.0    -999    -999         1.2  1983                            Tare                       Tsurikawa
      6080    33.796   130.521      -999.0         4.4      -999.0      -999.0    -999    -999         1.3  1969                              Oi                       Tsurikawa
      6095    33.554   130.896      -999.0        32.8      -999.0      -999.0    -999    -999        18.2  1971                         Aburagi                         Imagawa
      6098    33.487   131.604      -999.0        15.4      -999.0      -999.0    -999    -999         2.6  1971                             Aki                         Akigawa
