        ID       lat       lon        area    Type     ix1   iy1     ix2   iy2  elv_outlet   elv_gauge    elv_upst  dst_outlet    dst_upst
       136    44.422   141.791        43.9       1    1128    95    1128    96       10.00       13.47       24.75        1.13        0.93
       137    44.153   141.665        30.2       1    1121   111    1121   112        4.20        4.20        5.73        0.00        1.14
       138    43.872   141.597        71.8       1    1116   128    1117   128        0.00       12.35       14.08        1.24        0.57
       139    43.848   141.516         1.9       3    1111   130    -999  -999        0.00       10.15     -999.00        1.03     -999.00
       140    44.840   142.476       214.9       1    1169    70    1168    70        8.90        8.90        8.90        1.36        0.33
       141    44.192   143.076       251.7       1    1205   109    1204   110      112.47      125.51      128.52        1.27        0.57
       142    44.249   143.259       996.7       1    1216   105    1215   106       29.32       36.23       38.95        2.07        1.14
       143    44.349   143.273      1203.8       1    1217   100    1217   101        5.57        5.57       11.17        0.00        6.16
       144    44.380   143.301      1217.1       1    1218    98    1217    98        1.03        1.03        1.76        0.00        3.05
       145    44.191   143.083        23.8       1    1205   110    1205   111      126.77      126.77      154.70        0.00        5.63
       146    44.006   143.340       809.0       1    1221   120    1220   120      166.60      173.10      175.09        1.14        0.57
       147    44.053   143.519       956.4       1    1232   117    1231   118       69.22       72.58       77.17        0.90        0.33
       148    44.099   143.544        72.7       1    1232   115    1231   116       50.05       53.82       65.20        0.00        7.41
       149    44.199   143.591      1461.8       1    1236   109    1235   109        4.75        5.38        6.53        0.57        0.46
       150    43.919   143.534       174.1       1    1232   125    1233   126      161.56      166.59      173.26        0.57        1.14
       151    44.053   143.544       276.4       1    1233   118    1233   119       70.71       71.78       79.73        0.46        2.84
       152    43.605   143.338        46.3       1    1220   144    1219   145      458.60      465.30      507.72        0.34        4.52
       153    43.634   143.497       169.2       1    1230   143    1229   143      287.49      292.58      308.86        0.34        3.46
       154    43.683   143.599       422.3       1    1236   140    1235   140      210.43      210.43      216.53        0.00        0.93
       155    43.755   143.840       664.7       1    1251   135    1250   136       81.44       85.47       88.73        1.01        1.14
       156    43.799   143.910      1403.7       1    1255   133    1255   134       52.80       52.80       58.51        0.00        0.81
       157    43.922   143.969      1549.1       1    1258   125    1259   126       15.16       16.30       17.22        0.33        0.93
       158    44.013   143.987      1846.9       1    1260   120    1259   120        4.36        4.81        5.34        0.33        0.93
       159    44.058   144.035      1895.8       1    1263   117    1262   118        0.33        0.59        0.92        1.37        0.57
       160    44.119   144.073      1909.3       1    1265   113    1265   114        0.00        0.00        0.00        1.60        0.46
       161    43.983   143.947         6.7       1    1257   121    1257   120        8.05       18.82       53.07        1.94        3.24
       162    43.899   143.897        94.9       1    1254   127    1253   127       40.13       42.04       50.93        0.57        2.77
       163    43.759   143.512       305.0       1    1231   135    1230   135      265.18      268.75      271.65        0.80        0.34
       164    43.788   143.622       422.3       1    1237   133    1236   133      190.44      190.44      200.35        0.00        2.35
       165    43.792   143.765       467.2       1    1246   133    1244   133      113.16      119.25      128.76        1.24        4.39
       166    43.788   143.890       564.5       1    1254   133    1253   133       59.45       63.73       66.03        0.67        0.67
