        ID       lat       lon   area_CaMa  area_GRanD       error        diff      ix      iy     cap_mcm  year  damname                         rivname
      6095    33.554   130.896        35.2        32.8         0.1         2.4     474     747        18.2  1971  Aburagi                         Imagawa                       
      6096    33.546   133.113       684.0       681.8         0.0         2.2     607     748        66.0  1986  Odo                             Niiyodogawa                   
      6097    33.504   134.121       229.1       220.3         0.0         8.8     667     750         4.2  1960  Hiranabe                        Naharigawa                    
      6098    33.487   131.604        16.6        15.4         0.1         1.2     517     751         2.6  1971  Aki                             Akigawa                       
      6099    33.462   130.738        30.2        29.3         0.0         0.9     465     753        25.3  1972  Egawa                           Koishiharagawa                
      6100    33.454   132.679       528.2       526.3         0.0         1.9     581     753        48.2  1958  Kanogawa                        Hijikawa                      
      6101    33.446   131.129        89.5        88.6         0.0         0.8     488     754        23.3  1984  Yabakei                         Yamautsurigawa                
      6102    33.437   130.396         6.6         5.0         0.3         1.6     444     754         4.5  1976  Suburi                          Nakagawa                      
      6104    33.437   130.238        63.4        54.8         0.2         8.6     435     754        22.3  1956  Hokuzan                         Kasegawa                      
      6105    33.437   130.429        27.1        26.4         0.0         0.7     446     755         6.0  1985  Minamihata                      Nakagawa                      
      6106    33.429   130.729        51.8        50.6         0.0         1.2     464     755        18.0  1979  Terauchi                        Sadagawa                      
      6107    33.362   132.629       169.0       168.8         0.0         0.2     578     759        16.0  1981  Nomura                          Hijigawa                      
      6108    33.354   131.246        26.1        25.9         0.0         0.2     495     760         8.0  1968  Hiju                            Hijugawa                      
      6109    33.329   130.104        34.4        33.2         0.0         1.2     427     761        13.6  1986  Kyuragi                         Kyuragigawa                   
      6110    33.312   130.804        41.7        41.8        -0.0        -0.1     469     762         7.7  1990  Gosho                           Chikugogawa                   
      6111    33.196   131.304         4.9         5.2        -0.0        -0.2     498     768         1.7  1918  Yamashitaike                    Kuramotogawa                  
      6112    33.196   130.088         3.5         3.3         0.0         0.1     425     769         0.6  1996  Nagaike                         Zodogawa                      
      6113    33.171   130.779        87.3        84.1         0.0         3.2     467     770        27.9  1959  Hyugami                         Yabegawa                      
      6114    33.162   131.196         5.5         7.0        -0.2        -1.5     492     771         1.9  1922  Jizobaru                        Jizobarugawa                  
      6115    33.162   130.979       184.5       176.8         0.0         7.6     480     771        59.3  1972  Shimouke                        Tsuegawa                      
      6116    33.137   131.438       120.8       119.1         0.0         1.7     507     772        27.5  1956  Serikawa                        Serigawa                      
      6118    32.979   130.021        19.6        20.2        -0.0        -0.6     422     781         6.4  2000  Kayaze                          Korigawa                      
      6119    32.979   131.654         2.2         2.8        -0.2        -0.6     519     782         2.2  1973  Ishiba                          Mietanigawa                   
      6120    32.887   129.713        17.6        17.4         0.0         0.2     403     787         6.8  1969  Konoura                         Konouragawa                   
      6121    32.829   130.846         2.3         2.1         0.1         0.2     471     791         1.3  1974  Fukasako                        Fukasakogawa                  
