ID,lat_alloc,lon_alloc,area_alloc,lat_ori,lon_ori,area_ori,Modify,Station Name,River Name,Country,File Date,Last Update,Downstream GRDC Station,Altitude
6343900,48.562,13.446,25998.256,48.562,13.444,26084,,Passau-Ingling,INN,DE,2020/1/31,2018/5/24,6342900,289
6348200,44.946,8.688,8013.067,44.949,8.686,7885,,Montecastello,"TANARO, FIUME",IT,2020/1/31,2018/5/24,6348400,79
6348201,44.512,7.896,1495.072,44.51,7.9,1522,,Farigliano,"TANARO, FIUME",IT,2020/1/31,2018/5/24,6348200,235
6348202,44.121,7.871,147.095,44.12,7.87,148,,Ponte Di Nava,"TANARO, FIUME",FR,2020/1/31,2018/5/24,6348201,803
6348300,45.546,7.829,3308.037,45.55,7.828,3313,,Tavagnasco,"DORA BALTEA, FIUME",IT,2020/1/31,2018/5/24,6348400,263
6348310,45.829,8.254,146.765,45.83,8.26,149,,Ponte Folle,"MASTALLONE, TORRENTE",IT,2020/1/31,2018/5/24,6348400,440
6348350,0,0,0,45.701,8.651,-999,,Miorina,"TICINO, FIUME",IT,2020/1/31,2018/5/24,6348400,-999
6348400,45.054,9.713,41674.68,45.017,9.667,42030,,Piacenza,"PO, FIUME",IT,2020/1/31,2018/5/24,6348500,42
6348500,44.904,10.563,55359.137,44.9,10.55,55183,,Boretto,"PO, FIUME",IT,2020/1/31,2018/5/24,6348800,20
6348600,0,0,0,45.783,9.436,-999,,Lavello,"ADDA, FIUME",IT,2020/1/31,2018/5/24,6348500,-999
6348800,44.887,11.596,72754.695,44.883,11.6,70091,,Pontelagoscuro,"PO, FIUME",IT,2020/1/31,2018/5/24,-999,8
6349200,46.404,11.313,7010.136,46.4,11.317,6926,,Bronzolo (Branzoll),"ADIGE, FIUME",IT,2020/1/31,2018/5/24,6349300,227
6349210,46.887,11.421,206.273,46.88,11.41,207,,Vipiteno,RIDANNA,IT,2020/1/31,2018/5/24,6349200,939.5900269
6349300,46.071,11.113,9740.084,46.067,11.133,9763,,Trento,"ADIGE, FIUME",IT,2020/1/31,2018/5/24,6349500,186.1000061
6349350,45.854,11.363,134.245,45.844,11.368,138,,Pedescala,"ASTICO, TORRENTE",IT,2020/1/31,2018/5/24,-999,315
6349400,46.537,12.521,356.367,46.537,12.521,357,,Ponte Della Iasta,"PIAVE, FIUME",IT,2020/1/31,2018/5/24,-999,848
6349410,46.429,12.221,312.344,46.431,12.223,313,,Cancia,"BOITE, TORRENTE",IT,2020/1/31,2018/5/24,-999,818
6349411,46.596,12.104,81.351,46.595,12.111,82,,Podestagno,"BOITE, TORRENTE",IT,2020/1/31,2018/5/24,6349410,1330
6349500,45.121,11.821,11993.025,45.1,11.82,11954,,Boara Pisani,"ADIGE, FIUME",IT,2020/1/31,2018/5/24,-999,9
6349600,0,0,0,46.335,13.134,-999,,Pioverno,"TAGLIAMENTO, FIUME",IT,2020/1/31,2018/5/24,-999,-999
6351100,43.521,12.054,82.672,43.525,11.993,110,,Savinier,"CORDEVOLE, TORRENTE",IT,2020/1/31,2018/5/24,-999,1150
6352500,42.171,13.829,1966.874,42.17,13.83,1961,,Alloggiamento Idraulico,"ATERNO, FIUME",IT,2020/1/31,2018/5/24,-999,248
6352600,41.296,16.138,2736.632,41.3,16.14,2716,,S.Samuele Di Cafiero,"OFANTO, FIUME",IT,2020/1/31,2018/5/24,-999,32
6353300,37.471,13.663,1226.245,37.47,13.67,1237,,Passofonduto,"PLATANI, FIUME",IT,2020/1/31,2018/5/24,-999,136
6353400,37.171,13.938,1966.727,37.17,13.94,1782,,Drasi,"SALSO, FIUME",IT,2020/1/31,2018/5/24,-999,56
6353500,37.654,14.796,684.387,37.65,14.79,648,,Ponte Maccarrone,"SIMETO, FIUME",IT,2020/1/31,2018/5/24,-999,648
6357010,52.871,14.154,112225.234,52.873,14.142,109564,,Hohensaaten-Finow Ap,ODER RIVER,DE,2020/1/31,2018/5/24,-999,0.159999996
