ID,lat_mod,lon_mod,area_mod,rivname,locname,,
269,44.287,143.354,206.527,藻鼈川,中藻鼈,,
270,44.006,143.76,247.532,佐呂間別川,中佐呂間,,
271,44.019,143.785,253.146,佐呂間別川,永代,,
272,44.147,143.682,121.248,芭露川,芭露,,
273,43.784,144.535,236.922,斜里川,札弦,,
274,43.838,144.601,341.574,斜里川,斜里川中央橋,,
275,43.901,144.641,531.031,斜里川,斜里,,
276,43.885,144.661,172.425,猿間川,猿間,,
277,42.392,143.302,158.258,豊似川,豊似川,,
278,42.495,143.278,463.072,歴舟川,歴舟川本町,,
279,42.524,143.197,413.615,歴舟川,歴舟川尾田,,
280,42.905,143.931,282.956,音別川,音別川,,
281,42.971,144.061,349.856,茶路川,茶路川,,
282,42.99,144.126,274.617,庶路川,庶路川,,
283,43.015,144.116,252.086,庶路川,泊別中継,,
284,43.074,144.233,657.654,阿寒川,阿寒川山花,,
285,43.011,144.27,685.671,阿寒川,阿寒川大楽毛,,
286,43.119,144.119,158.781,舌辛川,舌辛川,,
287,43.373,144.982,223.908,西別川,中西別,,
288,43.39,145.127,375.618,西別川,西別川,,
289,43.553,144.977,409.773,標津川,標津川東5条,,
290,43.585,145.023,421.023,標津川,標津川俵橋,,
291,43.64,145.079,677.603,標津川,標津川合流点,,
292,43.674,145.121,1.38,標津川,標津川河口,,
293,42.955,144.033,1.568,和天別川,和天別川,,
294,43.013,144.307,13.937,星ガ浦川,星ガ浦川,,
295,44.549,142.935,93.17,雄武川,中雄武,,
296,44.005,144.104,16.46,卯原内川,卯原内川,,
297,43.923,144.296,162.923,藻琴川,山里,,
298,44.022,145.188,30.482,羅臼川,羅臼川,,
299,42.581,143.477,61.339,生花苗川,生花苗川,,
300,42.506,143.418,130.505,当縁川,当縁川,,
301,42.448,143.294,50.414,紋別川,紋別川,,
302,42.314,143.32,117.984,楽古川,楽古川,,
303,42.285,143.3,30.545,西広尾川,西広尾川,,
304,44.011,144.264,3.111,車止内川,車止内川,,
305,43.143,141.644,5.345,その他,旧幌向川,,
306,43.485,141.899,43.509,石狩川管内,遊水地第２水位,,
307,43.495,141.894,8742.533,石狩川管内,石狩川上流水位,,
308,43.481,141.888,58.494,石狩川管内,遊水地第１水位,,
309,43.489,141.882,58.915,石狩川管内,石狩川下流水位,,
310,43.889,142.655,1069.86,石狩川,中愛別,,
311,43.778,142.358,1892.132,石狩川,旭橋（永山橋下流）,,
312,43.764,142.276,3317.492,石狩川,伊納,,
313,43.718,142.133,3534.186,石狩川,納内,,
314,43.716,142.046,3604.623,石狩川,深川橋,,
315,43.677,141.982,3661.941,石狩川,妹背牛橋,,
316,43.636,141.918,5427.69,石狩川,伏古,,
317,43.559,141.884,5688.242,石狩川,橋本町,,
318,43.502,141.903,2.105,石狩川,砂川橋,,
319,43.432,141.839,8941.851,石狩川,奈井江大橋,,
320,43.332,141.691,9286.726,石狩川,月形,,
321,43.221,141.666,320.678,石狩川,岩見沢大橋,,
322,43.122,141.542,12651.872,石狩川,石狩大橋,,
323,43.167,141.42,3.604,石狩川,篠路,,
324,43.237,141.346,14283.287,石狩川,石狩,,
325,43.248,141.357,14289.806,石狩川,石狩河口,,
326,43.167,141.348,125.952,茨戸川,茨戸,,
327,43.146,141.313,9.69,発寒川,発寒川,,
328,43.159,141.348,27.245,発寒川,発寒,,
329,43.147,141.315,9.777,発寒川,発寒川遊水地,,
330,43.148,141.318,19.08,発寒川,発寒上流,,
331,43.22,141.526,274.488,当別川,樺戸,,
332,43.183,141.491,307.924,当別川,当別川下,,
333,42.873,141.153,64.689,豊平川,本流上流,,
334,42.964,141.159,215.743,豊平川,定山渓市街,,
335,42.966,141.284,513.679,豊平川,白川,,
336,42.966,141.316,536.554,豊平川,豊平川,,
337,42.966,141.322,537.076,豊平川,石山,,
338,43.03,141.354,627.993,豊平川,藻岩,,
339,43.071,141.401,631.957,豊平川,雁来,,
340,43.169,141.592,43.538,篠津川,南8号,,
341,42.775,141.4,1.235,千歳川,支笏湖,,
342,42.808,141.569,2.045,千歳川,ふ化場,,
343,42.818,141.632,295.761,千歳川,春日,,
344,42.846,141.67,367.809,千歳川,西越,,
345,42.943,141.651,660.979,千歳川,舞鶴,,
346,42.983,141.622,943.021,千歳川,南6号樋門,,
347,43.02,141.577,1130.622,千歳川,裏の沢,,
348,43.105,141.569,1240.773,千歳川,東光,,
349,42.984,142.012,550.278,夕張川,清水沢,,
350,42.932,142.035,668.061,夕張川,紅葉山,,
351,42.946,141.875,791.166,夕張川,円山,,
352,43.027,141.777,1006.872,夕張川,由仁,,
353,43.089,141.688,1108.222,夕張川,清幌橋,,
354,43.215,142.056,57.237,幾春別川,奥桂,,
355,43.256,141.917,226.596,幾春別川,藤松,,
356,43.24,141.866,267.129,幾春別川,市来知,,
357,43.207,141.726,318.6,幾春別川,西川向,,
358,43.325,141.762,4.197,旧美唄川,旧美唄川,,
359,43.288,141.714,115.914,旧美唄川,大豊橋,,
360,43.251,141.676,161.584,旧美唄川,第1旧美唄橋,,
361,43.342,141.82,88.305,美唄川,美唄,,
362,43.319,141.872,85.59,美唄川,新橋,,
363,43.425,141.863,41.516,奈井江川,中奈井江,,
364,43.471,141.905,12.901,奈江豊平川,奈江豊平川,,
365,43.493,141.903,40.607,パンケ歌志内川,パンケ水門上流水位,,
366,43.488,141.913,38.933,パンケ歌志内川,下吉野橋,,
367,43.48,141.976,33.859,パンケ歌志内川,パンケ呑口上流,,
368,43.494,141.901,2.191,ペンケ歌志内川,ペンケ樋門上流水位,,
369,43.521,142.034,17.543,ペンケ歌志内川,歌志内市役所,,
370,43.504,141.926,47.046,ペンケ歌志内川,ペンケ焼山第３,,
371,43.366,142.359,1563.093,空知川,学田,,
372,43.56,142.044,2548.811,空知川,赤平,,
373,43.548,141.911,2634.585,空知川,空知大橋,,
374,43.576,141.829,237.064,徳富川,上徳富,,
375,43.609,141.935,8.976,熊穴川,熊穴川,,
376,43.648,141.86,1.044,尾白利加川,尾白利加川,,
377,44.217,142.15,430.54,雨竜川,雨竜川,,
378,44.013,142.151,640.018,雨竜川,幌加内,,
379,43.807,142.013,985.3,雨竜川,多度志,,
380,43.789,141.928,1150.631,雨竜川,達布橋,,
381,43.73,141.914,1409.682,雨竜川,北竜橋,,
382,43.684,141.913,1661.681,雨竜川,雨竜橋,,
383,43.153,141.371,60.602,伏籠川,伏籠下流,,
384,43.158,141.361,60.944,伏籠川,福移橋,,
385,43.118,141.427,19.565,篠路新川,モエレ,,
386,43.156,141.352,17.269,創成川,創成,,
387,43.125,141.344,8.257,創成川,創成上流,,
388,43.087,141.559,22.98,早苗別川,早苗別川,,
389,43.012,141.701,7.53,馬追運河,馬追運河,,
390,42.983,141.556,23.614,輪厚川,輪厚,,
391,42.988,141.564,24.749,輪厚川,輪厚,,
392,42.936,141.562,1.794,島松川,島松,,
393,42.941,141.569,52.195,島松川,下島松,,
394,42.891,141.55,20.956,柏木川,第一遊水地外水位,,
395,42.905,141.567,22.426,柏木川,第二遊水地外水位,,
396,42.916,141.579,29.639,柏木川,柏木,,
397,43.047,141.452,97.077,厚別川,川下橋,,
398,43.112,141.478,150.647,厚別川,厚別,,
399,43.038,141.482,22.688,野津幌川,南郷もみじ橋,,
400,43.061,141.467,27.324,野津幌川,厚別西川,,
401,42.857,141.403,40.291,漁川,光竜,,
402,42.879,141.57,127.881,漁川,日の出橋,,
403,43.041,141.431,22.313,月寒川,月寒川,,
404,43.057,141.432,23.713,月寒川,月寒,,
405,42.91,141.723,62.18,嶮淵川,嶮淵,,
406,42.934,141.341,30.059,真駒内川,真駒内常磐,,
407,42.987,141.349,35.348,真駒内川,真駒内橋,,
408,42.861,141.623,12.852,長都川,長都,,
409,42.816,141.646,63.13,ママチ川,真々地,,
410,43.033,141.129,68.047,小樽内川,小樽内,,
411,43.013,141.154,14.592,滝の沢川,滝の沢,,
412,42.974,141.173,200.52,白井川,一の沢,,
413,43.145,141.721,177.566,幌向川,岩栗橋,,
414,43.134,141.646,301.199,幌向川,豊幌,,
415,43.184,141.744,32.14,利根別川,大和橋,,
416,43.194,141.774,5.146,東利根別川,東利根別川,,
417,43.009,141.309,3.923,北の沢川,下北の沢,,
418,43.063,141.842,17.717,ポンウエンベツ川,元田,,
419,43.001,141.311,5.72,中の沢川,中の沢,,
420,43.025,141.881,56.198,阿野呂川,阿野呂川,,
421,42.982,141.333,6.241,南の沢川,下南の沢,,
422,43.366,141.798,76.001,産化美唄川,産化美唄,,
423,43.548,142.144,129.405,パンケ幌内川,パンケ幌内川,,
424,42.938,141.224,7.029,盤の沢川,盤の沢川,,
425,43.709,141.926,76.876,大鳳川,大鳳橋,,
426,43.723,142.019,2.471,堺川,深川,,
427,43.709,141.822,124.607,恵岱別川,恵岱別,,
428,43.772,141.889,56.823,美葉牛川,碧水,,
429,43.787,141.912,165.422,幌新太刀別川,沼田北竜,,
430,43.808,141.952,59.582,沼田奔川,沼田奔川,,
431,43.807,142.034,62.792,多度志川,多度志川,,
432,42.999,141.365,11.258,精進川,精進川,,
433,42.986,141.306,1.747,南の沢川,南の沢,,
434,42.957,141.263,23.204,簾舞川,簾舞,,
435,42.962,141.684,1.048,南六号川,南六号川,,
436,42.944,141.684,22.968,南９号川,南九号川,,
437,42.889,141.569,7.5,茂漁川,茂漁,,
438,42.864,141.411,39.413,ラルマナイ川,白扇,,
439,42.866,141.16,40.492,漁入沢川,漁入沢,,
440,42.943,141.309,3.404,オカバルシ川,オカバルシ,,
441,42.961,141.312,7.369,オカバルシ川,下オカバルシ,,
442,43.014,141.783,4.316,ヤリキレナイ川,ヤリキレナイ川,,
443,43.032,141.386,6.978,望月寒川,望月寒川,,
444,43.075,141.426,18.316,望月寒川,望月寒,,
445,43.754,141.96,7.641,境川,秩父別境川,,
446,42.789,140.934,241.009,尻別川,喜茂別下流,,
447,42.885,140.753,656.135,尻別川,倶知安,,
448,42.801,140.599,1280.543,尻別川,昆布,,
449,42.815,140.529,1325.002,尻別川,蘭越,,
450,42.811,140.461,1385.587,尻別川,名駒,,
451,42.877,140.365,1634.08,尻別川,河口,,
452,42.81,140.684,870.03,尻別川,尻別川ニセコ,,
453,42.86,140.877,4.365,尻別川,尻別川三崎,,
454,42.767,140.449,71.631,目名川,目名川,,
455,42.905,140.744,109.353,倶登山川,倶登山川,,
456,42.795,140.966,71.375,喜茂別川,喜茂別川,,
457,42.794,140.601,133.813,昆布川,昆布川,,
458,43.165,140.769,419.313,余市川,余市川鮎見橋,,
459,43.178,140.79,14.305,余市川,余市中の川樋門内水,,
460,43.183,140.79,452.358,余市川,黒川樋門外水,,
461,43.123,140.734,392.57,余市川,余市川然別,,
462,43.049,140.83,2.568,余市川,余市川都,,
463,43.183,140.79,452.358,余市川,黒川樋門内水,,
464,43.178,140.79,14.305,余市川,余市中の川樋門外水,,
465,42.753,140.291,352.904,朱太川,朱太川実橋,,
466,42.674,140.307,127.302,朱太川,朱太川黒松内,,
467,43.112,141.291,108.202,新川,天狗橋,,
468,43.129,141.267,26.17,新川,新発寒桜川,,
469,43.092,141.32,31.614,琴似川,琴似川,,
470,43.084,141.271,2.354,中の川,中の川一条橋,,
471,43.118,141.266,25.322,中の川,共栄橋,,
472,43.124,141.265,26.112,中の川,わらび川,,
473,43.11,141.26,2.595,中の川,西宮の沢川,,
474,43.112,141.256,5.05,中の川,富丘川,,
475,43.074,141.288,63.692,琴似発寒川,西野,,
476,43.115,141.266,25.31,旧中の川,旧中の川,,
477,43.131,141.268,109.386,発寒古川,発寒古川,,
478,43.131,141.265,143.031,旧軽川,旧軽川,,
479,43.584,141.418,117.15,浜益川,浜益川,,
480,43.397,141.445,135.611,厚田川,厚田川,,
481,43.135,141.193,15.639,星置川,星置川,,
482,43.138,141.041,38.927,朝里川,豊倉,,
483,43.159,141.044,50.164,朝里川,文治沢,,
484,43.181,141.007,29.374,勝納川,勝納川,,
485,43.204,140.923,14.089,塩谷川,塩谷川,,
486,43.197,140.86,10.335,蘭島川,蘭島川,,
487,43.181,140.844,18.465,畚部川,畚部川,,
488,43.193,140.764,34.49,ヌッチ川,ヌッチ川,,
489,43.258,140.646,148.126,古平川,古平川,,
490,43.29,140.593,56.306,美国川,美国川,,
491,42.969,140.677,57.467,堀株川,堀株川小沢,,
492,42.984,140.614,135.994,堀株川,堀株川共和,,
493,42.681,140.067,99.186,泊川,泊川,,
494,42.981,140.593,17.884,中の川,中の川共和,,
495,42.507,140.191,48.963,後志利別川,上利別,,
496,42.428,140.154,142.365,後志利別川,花石,,
497,42.411,140.105,206.705,後志利別川,住吉,,
498,42.421,140.009,355.993,後志利別川,今金,,
499,42.417,139.921,613.921,後志利別川,大富,,
500,42.425,139.848,1.005,後志利別川,河口,,
