ID,lat_alloc,lon_alloc,area_alloc,lat_ori,lon_ori,loc_km_diff,ix,iy,Station Name,River Name,Memo
2064,36.272,139.584,100.713,36.271,139.584,0.059,14101,9885,菊沢川排水機場（内）,菊沢川,
2065,36.278,139.502,42.16,36.279,139.502,0.059,14042,9880,足森橋,矢場川,
2066,36.294,139.452,12.62,36.294,139.452,0.028,14006,9869,後河原橋,矢場川,
2067,36.306,139.534,145.405,36.306,139.534,0.028,14065,9860,高田橋,旗川,
2068,36.315,139.542,145.206,36.314,139.542,0.072,14071,9854,白旗橋,旗川,
2069,36.342,139.474,34.471,36.343,139.474,0.076,14022,9834,千歳橋,袋川,
2070,36.408,139.351,93.702,36.407,139.35,0.094,13933,9787,広見橋,桐生川,
2071,36.449,139.369,77.211,36.45,139.369,0.081,13946,9757,上久方,桐生川,
2072,36.43,139.806,230.6,36.43,139.805,0.114,14261,9771,東雲橋,黒川,
2073,36.567,139.755,148.371,36.568,139.755,0.073,14224,9672,府中橋,黒川,
2074,36.915,139.522,28.312,36.915,139.521,0.067,14056,9422,馬坂,馬坂川,
2075,36.284,139.498,1.409,36.284,139.498,0.008,14039,9876,久野橋,姥川,
2076,36.28,139.513,12.146,36.28,139.514,0.074,14050,9879,姥川排水機場（内）,姥川,
2077,36.28,139.513,12.146,36.28,139.514,0.074,14050,9879,姥川排水機場（外）,姥川,
2078,36.892,139.649,20.479,36.893,139.649,0.076,14148,9438,小穴,稲ヶ沢川,
2079,36.287,139.61,60.269,36.287,139.61,0.044,14120,9874,沼縁樋門,その他,
2080,36.769,138.972,494.326,36.769,138.971,0.055,13660,9527,湯原,利根川,
2081,36.623,139.038,989.595,36.622,139.038,0.103,13708,9632,屋形原,利根川,
2082,36.597,139.051,1688.412,36.597,139.05,0.081,13717,9651,岩本,利根川,
2083,36.385,139.058,3261.35,36.385,139.057,0.074,13722,9803,前橋,利根川,
2084,36.313,139.12,3283.922,36.313,139.12,0.025,13767,9855,上福島,利根川,
2085,36.313,139.12,3283.922,36.313,139.12,0.025,13767,9855,上福島（県）,利根川,
2086,36.262,139.197,5105.694,36.263,139.197,0.139,13822,9892,八斗島,利根川,
2087,36.24,139.38,5894.536,36.24,139.381,0.111,13954,9908,古戸,利根川,
2088,36.192,139.515,6013.871,36.194,139.515,0.185,14051,9942,川俣,利根川,
2089,36.145,139.702,8672.199,36.144,139.702,0.126,14186,9976,栗橋,利根川,
2090,35.983,139.892,8951.104,35.982,139.891,0.142,14323,10093,芽吹橋,利根川,
2091,35.891,140.056,11084.525,35.891,140.057,0.069,14441,10159,取手,利根川,
2092,35.87,140.127,12099.037,35.87,140.128,0.085,14492,10174,押付,利根川,
2093,35.852,140.235,544.062,35.852,140.236,0.054,14570,10187,須賀,利根川,
2094,35.908,140.497,13119.95,35.911,140.496,0.376,14758,10147,横利根,利根川,
2095,36.391,139.059,1.557,36.391,139.06,0.088,13723,9799,県庁裏,利根川,
2096,36.497,139.016,3164.166,36.497,139.017,0.106,13692,9723,大正橋,利根川,
2097,36.684,138.994,574.108,36.683,138.994,0.116,13676,9588,月夜野橋,利根川,
2098,36.953,139.028,28.212,36.954,139.029,0.076,13701,9394,奈良沢,利根川,
2099,36.974,139.108,35.876,36.975,139.107,0.096,13758,9379,小穂口,利根川,
2100,36.905,139.122,32.124,36.905,139.121,0.047,13768,9429,平弦,利根川,
2101,36.855,139.106,35.743,36.855,139.106,0.025,13757,9465,木ノ根沢,利根川,
2102,36.27,138.844,26.419,36.269,138.844,0.128,13568,9886,下高田,高田川,
2103,36.265,138.877,47.672,36.265,138.878,0.095,13592,9890,中瀬橋,高田川,
2104,36.434,139.281,470.306,36.434,139.28,0.111,13883,9768,高津戸,渡良瀬川,
2105,36.376,139.36,512.221,36.376,139.361,0.062,13940,9810,松原橋,渡良瀬川,
2106,36.356,139.387,646.766,36.356,139.387,0.032,13959,9824,葉鹿橋,渡良瀬川,
2107,36.334,139.445,696.331,36.334,139.445,0.013,14001,9840,足利,渡良瀬川,
2108,36.32,139.465,699.875,36.32,139.464,0.055,14015,9850,岩井,渡良瀬川,
2109,36.32,139.465,699.875,36.32,139.464,0.055,14015,9850,岩井分水路,渡良瀬川,
2110,36.302,139.503,757.988,36.302,139.503,0.044,14043,9863,早川田上,渡良瀬川,
2111,36.269,139.592,1136.729,36.268,139.593,0.101,14107,9887,大島,渡良瀬川,
2112,36.263,139.653,1204.728,36.263,139.654,0.053,14151,9891,藤岡,渡良瀬川,
2113,36.191,139.694,2610.373,36.191,139.694,0.024,14180,9943,古河,渡良瀬川,
2114,36.523,139.315,319.065,36.523,139.315,0.038,13907,9704,花輪,渡良瀬川,
2115,36.255,139.355,44.502,36.254,139.355,0.097,13936,9897,牛沢,石田川,
2116,36.262,139.319,15.023,36.262,139.319,0.031,13910,9892,下田島,石田川,
2117,36.247,139.319,84.196,36.246,139.319,0.063,13910,9903,前島,早川,
2118,36.253,139.283,75.667,36.253,139.283,0.062,13884,9898,徳川橋,早川,
2119,36.274,139.237,332.544,36.274,139.238,0.113,13851,9883,下武士,広瀬川,
2120,36.322,139.19,209.753,36.321,139.189,0.08,13817,9849,三光,広瀬川,
2121,36.419,138.795,105.039,36.419,138.795,0.03,13533,9779,水沼橋,烏川,
2122,36.381,138.876,155.534,36.381,138.876,0.039,13591,9806,上里見,烏川,
2123,36.322,138.999,550.088,36.322,139,0.083,13680,9849,高松,烏川,
2124,36.291,139.076,1217.728,36.291,139.076,0.029,13735,9871,岩鼻,烏川,
2125,36.28,139.124,1341.795,36.28,139.124,0.031,13770,9879,新町,烏川,
2126,36.277,139.153,1794.01,36.278,139.156,0.249,13791,9881,玉村,烏川,
2127,36.347,138.967,254.457,36.347,138.968,0.078,13657,9831,烏川,烏川,
2128,36.494,139.012,9.313,36.493,139.012,0.085,13689,9725,平沢橋,平沢川,
2129,36.549,138.784,747.261,36.55,138.784,0.077,13525,9685,岩島,吾妻川,
2130,36.552,138.922,1256.26,36.552,138.921,0.047,13624,9683,村上,吾妻川,
2131,36.512,139.009,1347.419,36.512,139.008,0.096,13687,9712,吾妻橋,吾妻川,
2132,36.544,138.802,2.32,36.544,138.804,0.175,13538,9689,郷原,吾妻川,
2133,36.566,138.89,1227.294,36.566,138.89,0.037,13601,9673,市城,吾妻川,
2134,36.538,138.555,270.338,36.538,138.554,0.079,13360,9693,三原,吾妻川,
2135,35.69,139.756,2.221,35.687,139.753,0.411,14225,10304,浜岩橋,吾妻川,
2136,36.769,139.223,251.929,36.768,139.223,0.084,13841,9527,鎌田,片品川,
2137,36.709,139.209,412.945,36.709,139.208,0.093,13831,9570,千鳥,片品川,
2138,36.658,139.094,636.824,36.658,139.094,0.046,13748,9607,上久屋,片品川,
2139,36.783,139.231,162.665,36.783,139.233,0.162,13847,9517,越本,片品川,
2140,36.647,139.03,148.061,36.647,139.03,0.054,13702,9615,薄根橋,薄根川,
2141,36.649,139.027,32.936,36.649,139.026,0.102,13700,9613,四釜,四釜川,
2142,36.751,138.888,56.366,36.75,138.888,0.079,13600,9540,川古,赤谷川,
2143,36.683,138.983,185.127,36.682,138.983,0.079,13668,9589,小袖橋,赤谷川,
2144,36.701,138.912,121.766,36.7,138.912,0.079,13617,9576,湯宿,赤谷川,
2145,36.799,138.991,411.974,36.8,138.991,0.077,13674,9505,湯檜曽,湯檜曽川,
2146,36.285,139.308,6.72,36.285,139.308,0.055,13902,9875,新田木崎,大川,
2147,36.428,139.308,19.904,36.428,139.308,0.06,13902,9772,山田川,山田川,
2148,36.302,139.192,17.189,36.302,139.193,0.058,13819,9863,大川,大川,
2149,36.213,139.591,5.471,36.213,139.591,0.022,14106,9927,谷田川排水機場内水位,谷田川,
2150,36.215,139.66,184.022,36.214,139.661,0.083,14156,9926,谷田川第一排水機場内水位,谷田川,
2151,36.215,139.613,115.456,36.215,139.613,0.049,14122,9926,藤の木橋,谷田川,
