ID,lat_mod,lon_mod,area_mod,rivname,locname
256,42.499,140.231,17.7,ピリカベツ川,美利河別
257,42.493,140.16,17.2,チュウシベツ川,忠志別
258,26.614,128.059,14.7,源河川,源河（廃止）
259,42.89,142.255,616.1,鵡川,福山
260,42.759,142.136,949.5,鵡川,穂別
261,42.658,142.071,1069.2,鵡川,栄
262,42.573,141.937,1228,鵡川,鵡川
263,42.851,142.172,122.7,穂別川,稲里
264,26.616,128.019,12,羽地大川,稲搗橋
265,42.711,142.246,765.2,沙流川,幌毛志橋
266,42.583,142.141,1253,沙流川,平取
267,42.517,142.031,1323,沙流川,富川
268,42.681,142.386,234.3,額平川,平取ダムサイト
269,42.668,142.246,365.8,額平川,貫気別
270,43.323,142.943,534.1,十勝川,ニペソツ
271,43.068,142.926,803.8,十勝川,共栄橋
272,43.013,142.938,845.8,十勝川,熊牛
273,42.931,143.047,1546.4,十勝川,芽室太
274,42.934,143.203,2677.8,十勝川,帯広
275,42.927,143.291,4482.8,十勝川,十勝中央大橋
276,42.92,143.384,5081.5,十勝川,千代田
277,42.808,143.512,8208,十勝川,茂岩
278,42.69,143.648,8379.5,十勝川,大津
279,43.418,142.866,162.8,十勝川,シイ十勝
280,43.412,142.878,207.5,トムラウシ川,トムラウシ
281,42.92,143.032,218,芽室川,芽室橋（廃止）
282,42.802,142.957,150,美生川,上美生橋（廃止）
283,42.923,143.066,194.8,美生川,美生橋
284,43.055,143.086,280.8,然別川,上然別橋（廃止）
285,42.951,143.147,646.4,然別川,国見橋
286,43.186,143.225,540,音更川,士幌
287,43.008,143.2,707.9,音更川,音更
288,42.933,143.209,181,帯広川,東3条
289,42.611,142.87,83.1,札内川,竜潭上流
290,42.58,142.935,-9999,札内川,札内ダム直下
291,42.603,142.987,150.1,札内川,南札内
292,42.642,143.092,188.9,札内川,上札内
293,42.798,143.157,580,札内川,第二大川橋
294,42.84,143.188,608.1,札内川,南帯橋
295,42.926,143.229,698.9,札内川,札内
296,42.699,143.058,160.6,戸蔦別川,戸蔦橋
297,42.733,143.109,294.7,戸蔦別川,中島橋
298,42.692,143.063,76.6,岩内川,岩内（廃止）
299,42.947,143.27,282,士幌川,旭橋
300,42.913,143.282,115,途別川,千住12号橋
301,42.91,143.356,447.4,猿別川,止若
302,43.359,143.607,725.7,利別川,上利別（廃止）
303,43.094,143.516,2365.3,利別川,東橋
304,42.931,143.443,2715.2,利別川,利別
305,43.247,143.568,541.9,足寄川,下足寄（廃止）
306,42.92,143.476,115,十弗川,東台1号橋
307,42.799,143.472,164,牛首別川,農野牛
308,42.774,143.597,104,下頃辺川,大平橋
309,42.765,143.611,110,下頃辺川,愛牛橋（廃止）
310,42.734,143.674,590.4,浦幌十勝川,十勝太
311,42.746,143.6,35.6,浦幌十勝導水路,導
312,42.796,143.65,392,浦幌川,万年橋
313,43.555,144.358,340.9,釧路川,屈斜路
314,43.488,144.451,459,釧路川,弟子屈
315,43.402,144.531,693.3,釧路川,熊牛原野
316,43.3,144.601,894.6,釧路川,標茶
317,43.24,144.538,1093.6,釧路川,五十石
318,43.085,144.427,1668,釧路川,岩保木
319,43.056,144.398,2172.1,新釧路川,広里
320,43.007,144.367,2338,新釧路川,鳥取
321,43.483,144.463,137,鐺別川,鐺別
322,43.289,144.537,137.6,オソベツ川,下オソベツ
323,43.22,144.431,96.6,久著呂川,下久著呂
324,43.216,144.343,169.5,雪裡川,雪裡
325,43.158,144.326,127,幌呂川,幌呂
326,43.559,144.339,289.63,釧路川,屈斜路湖
