ID,lat_mod,lon_mod,area_mod,lat_ori,lon_ori,area_ori,Memo,Station Name,River Name,Country,File Date,Last Update,Downstream GRDC Station,Altitude
1159320,-29.658,25.973,2381,-29.658,25.973,2381, ,Kromdraai (27817212),RIET,ZA,2020/1/31,2019/2/12,1159301,1319
1159321,-29.812,26.212,596,-29.812,26.212,596, ,Riviera (27817208),RIET,ZA,2020/1/31,2018/5/22,1159320,1392
1159325,-29.903,26.214,191,-29.903,26.214,191, ,Os Poort (27817209),OSPOORTSPRUIT,ZA,2020/1/31,2018/5/22,1159320,1417
1159400,-27.573,24.746,11044,-27.573,24.746,11044, ,Taung (27817303),HARTS,ZA,2020/1/31,2019/2/12,1159301,1091
1159410,-27.84,25.904,17754,-27.84,25.904,17754, ,Floorsdrift (27817502),VETRIVIER,ZA,2020/1/31,2018/5/22,1159500,1237
1159500,-28.499,24.603,120982,-28.499,24.603,120982, ,De Hoop 65,VAAL RIVER,ZA,2020/1/31,2018/5/22,1159300,-999
1159510,-27.398,26.613,7801,-27.398,26.613,7801, ,Grootdraai (27817602),VALSRIVIER,ZA,2020/1/31,2019/2/12,1159500,1259
1159511,-27.4,26.626,7794,-27.4,26.626,7794, ,Mooifontein (27817603),VALSRIVIER,ZA,2020/1/31,2018/5/22,1159510,1259
1159512,-27.936,27.996,863,-27.936,27.996,863, ,Klipfontein (27817604),VALSRIVIER,ZA,2020/1/31,2018/5/22,1159511,1530
1159520,-27.356,27.286,905,-27.356,27.286,905, ,Dankbaar (27817703),HEUNINGSPRUIT,ZA,2020/1/31,2019/2/12,1159500,1357
1159530,-27.37,26.351,867,-27.37,26.351,867, ,Klipspruit (27817465),LEEWDORINGSPRUIT,ZA,2020/1/31,2018/5/22,1159500,1249
1159540,-27.561,26.233,1895,-27.561,26.233,1895, ,Leegte (27817467),SANDSPRUIT,ZA,2020/1/31,2018/5/22,1159500,1240
1159600,-31.04,26.34,2400,-31.04,26.34,2400, ,Diep Kloof,STROMBERGSPRUIT,ZA,2020/1/31,2018/5/22,1159303,-999
1159601,-31.001,26.353,2397,-31.001,26.353,2397, ,Diepkloof (27819101),WONDERBOOMSPRUIT,ZA,2020/1/31,2019/2/12,1159303,1376
1159650,-30.678,26.716,37070,-30.678,26.716,37070, ,Aliwal Noord (27819103),ORANGE RIVER,ZA,2020/1/31,2019/2/12,1159303,1298
1159651,-30.336,27.358,24745,-30.336,27.358,24745, ,Oranjedraai (27819109),ORANGE RIVER,ZA,2020/1/31,2019/2/12,1159650,1394
1159660,-30.831,26.921,8689,-30.831,26.921,8689, ,Roodewal (27819111),KRAAIRIVIER,ZA,2020/1/31,2019/2/12,1159650,1320
1159670,-28.695,28.235,522,-28.695,28.235,522, ,The Poplars (27818012),LITTLE CALEDON RIVER,ZA,2020/1/31,2019/2/12,1159303,-999
1159800,-26.82,28.063,38564,-26.82,28.063,38564, ,Elandsfontein Engelbrechtsdrift,VAAL RIVER,ZA,2020/1/31,2018/5/22,1159500,-999
1159810,-27.298,28.496,15522,-27.298,28.496,15522, ,Slabberts (27817822),WILGERIVIER,ZA,2020/1/31,2018/5/22,1159800,1498
1159820,-27.848,28.945,864,-27.848,28.945,864, ,C8H003 (27817803),CORNELISRIVIER,ZA,2020/1/31,2019/2/12,1159810,1091
1159825,-28.085,28.837,393,-28.085,28.837,393, ,Voorspoed (27817812),VAALBANKSPRUIT,ZA,2020/1/31,2019/2/12,1159810,1597
1159830,-28.376,28.862,690,-28.376,28.862,690, ,C8H005 (27817805),ELANDSRIVIER,ZA,2020/1/31,2019/2/12,1159810,-999
1159850,-26.248,27.589,32,-26.248,27.589,32, ,Rietfontein (27817428),RIETFONTEINSPRUIT,ZA,2020/1/31,2018/5/22,1159500,1602
1159860,-26.233,27.669,26,-26.233,27.669,26, ,Middelvlei (27817426),MIDDELVLEISPRUIT,ZA,2020/1/31,2018/5/22,1159500,1614
1159900,-27.169,29.233,4152,-27.169,29.233,4152, ,Delangesdrift,KLIPRIVIER,ZA,2020/1/31,2019/2/12,1159800,-999
1159910,-26.861,28.884,2239,-26.861,28.884,2239, ,Elandslaagte (27817908),WATERVALRIVIER,ZA,2020/1/31,2019/2/12,1159800,1520
1160100,-34.077,19.29,502,-34.077,19.29,502, ,Dwarshoek (27694403),RIVIERSONDEREND,ZA,2020/1/31,2018/5/22,-999,307
1160101,-34.062,19.072,39,-34.062,19.072,39, ,Swarte Water (27694408),RIVIERSONDEREND,ZA,2020/1/31,2018/5/22,1160100,380
1160115,-34.405,19.596,599,-34.405,19.596,599, ,Hagedisberg Outspan (27711206),KLEINRIVIER,ZA,2020/1/31,2019/2/12,-999,55
